country,rank,name,id,releaseDate,Primary_Genre,Artist
ca,4,The Daily,1200361736,2020-10-28,Daily News,The New York Times
ca,5,Crime Junkie,1322200189,2020-10-26,True Crime,audiochuck
ca,6,Armchair Expert with Dax Shepard,1345682353,2020-10-26,Comedy,Armchair Umbrella
ca,7,Canadian True Crime,1197095887,2021-03-01,True Crime,Kristi Lee
ca,8,Evil By Design,1545659686,2021-01-27,True Crime,CBC Podcasts
ca,9,Spittin Chiclets,1112425552,2020-10-22,Hockey,Barstool Sports
ca,10,Against The Odds,1553335461,2021-02-23,Society & Culture,Wondery
ca,11,Stuff You Should Know,278981407,2020-10-28,Society & Culture,iHeartRadio
ca,12,Call Her Daddy,1418960261,2020-10-28,Comedy,Barstool Sports
ca,13,The Joe Rogan Experience,360084272,2020-10-27,Comedy,Joe Rogan
ca,14,You're Wrong About,1380008439,2020-10-22,History,Michael Hobbes & Sarah Marshall
ca,15,Morbid: A True Crime Podcast,1379959217,2020-10-27,Comedy,Morbid: A True Crime Podcast
ca,16,Cautionary Tales,1484511465,2021-02-12,History,Pushkin Industries
ca,17,On Purpose with Jay Shetty,1450994021,2020-10-26,Health & Fitness,Jay Shetty and Kast Media
ca,18,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,1074507850,2020-10-26,True Crime,Exactly Right
ca,19,Unlocking Us with Brené Brown,1494350511,2020-10-28,Relationships,Parcast Network
ca,20,UnF*ck Your Brain,1229434818,2020-10-23,Mental Health,Kara Loewentheil
ca,21,Unsolved Mysteries,1549903604,2021-02-17,True Crime,"Cosgrove Meurer Productions, Inc. + Cadence13"
ca,22,Unraveled: Long Island Serial Killer,1543476170,2021-01-27,True Crime,Investigation Discovery
ca,23,Nowhere to be Found,1532686678,2021-01-18,True Crime,Amanda Popineau
ca,24,OverDrive,679367618,2020-10-27,Sports,TSN 1050 Radio
ca,25,13 Hours Inside the Nova Scotia massacre,1535831360,2020-11-09,True Crime,Curiouscast
ca,26,The Bible in a Year (with Fr. Mike Schmitz),1539568321,2020-12-21,Christianity,Ascension Catholic Faith Formation
ca,27,"Let's Talk About Myths, Baby! A Greek & Roman Mythology Podcast",1264449047,2021-03-02,Arts,Liv Albert
ca,28,Stolen: The Search for Jermain,1554011083,2021-03-01,True Crime,Gimlet
ca,29,Island Crime: Gone Boys,1513479877,2021-01-29,True Crime,Laura Palmer / Frequency Podcast Network
ca,30,Office Ladies,1480311435,2020-10-21,Comedy,Earwolf & Jenna Fischer and Angela Kinsey
ca,31,Front Burner,1439621628,2020-10-28,News,CBC Podcasts
ca,32,Oprah’s SuperSoul Conversations,1264843400,2020-10-28,Society & Culture,Oprah
ca,33,Femmes à marier,1555182656,2021-02-23,Relationships,Marilou Ethier & Laura-Gabriel
ca,34,The Apology Line,1545233696,2021-01-05,True Crime,Wondery
ca,35,The Tim Ferriss Show,863897795,2020-10-28,Entrepreneurship,"Tim Ferriss: Bestselling Author, Human Guinea Pig"
ca,36,Conan O’Brien Needs A Friend,1438054347,2020-10-28,Comedy,Team Coco & Earwolf
ca,37,The Mindset Mentor,1033048640,2020-10-28,Mental Health,Rob Dial and Kast Media
ca,38,Huberman Lab,1545953110,2020-12-21,Health & Fitness,Dr. Andrew Huberman
ca,39,The Jordan B. Peterson Podcast,1184022695,2020-11-29,Education,Dr. Jordan B. Peterson
ca,40,The Happiness Lab with Dr. Laurie Santos,1474245040,2020-10-12,Society & Culture,Pushkin Industries
ca,41,This American Life,201671138,2020-10-25,Personal Journals,This American Life
ca,42,The Ben Shapiro Show,1047335260,2020-10-28,News,The Daily Wire
ca,43,This is Paris,1552058389,2021-02-22,Society & Culture,iHeartRadio & Paris Hilton
ca,44,The Dr. John Berardi Show,1553695927,2021-01-30,Health & Fitness,John Berardi
ca,45,H3 Podcast,1186098620,2021-01-12,Comedy,Ethan Klein
ca,46,31 Thoughts: The Podcast,1332150124,2020-11-13,Hockey,Sportsnet
ca,47,Monday Morning Podcast,480486345,2020-10-26,Comedy,All Things Comedy | Wondery
ca,48,TED Talks Daily,160904630,2020-10-27,Education,TED
ca,49,Crime Beat,1451648664,2021-02-23,True Crime,Curiouscast
ca,50,Get Sleepy: Sleep meditation and stories,1487513861,2020-11-30,Alternative Health,Get Sleepy
ca,51,VIEWS with David Dobrik and Jason Nash,1236778275,2020-10-27,Comedy,Cadence13
ca,52,The Current,151487761,2020-10-28,News,CBC Radio
ca,53,Someone Knows Something,1089216339,2021-01-28,True Crime,CBC Podcasts
ca,54,Global News Podcast,135067274,2021-03-02,News,BBC World Service
ca,55,99% Invisible,394775318,2020-10-27,Design,Roman Mars
ca,56,Inside the Breakthrough - How Science Comes to Life,1547617029,2021-02-22,Science,SciMar with Dan Riskin
ca,57,Under the Influence from CBC Radio,493536367,2020-06-25,Business,CBC Radio
ca,58,Ideas,151485663,2020-10-28,Society & Culture,CBC Radio
ca,59,The Bill Simmons Podcast,1043699613,2020-10-28,Sports,The Ringer & Bill Simmons
ca,60,Hidden Brain,1028908750,2020-10-26,Social Sciences,Hidden Brain
ca,61,Giggly Squad,1536352412,2021-02-23,After Shows,Hannah Berner & Paige DeSorbo
ca,62,The Brand is Female,1450048766,2021-03-02,Careers,The Brand is Female
ca,63,Casefile True Crime,998568017,2020-10-27,True Crime,Casefile Presents
ca,64,Revisionist History,1119389968,2020-09-10,Society & Culture,Pushkin Industries
ca,65,The Daily Show With Trevor Noah: Ears Edition,1334878780,2020-10-28,Comedy,iHeartRadio & Comedy Central
ca,66,More with Anna Maria Tremonti,1494930679,2021-02-11,Society & Culture,CBC Podcasts
ca,67,2 Bears 1 Cave with Tom Segura & Bert Kreischer,1468013270,2021-03-01,Comedy,YMH Studios
ca,68,Serial Killers,1205030005,2020-10-26,True Crime,Parcast Network
ca,69,The Office Deep Dive with Brian Baumgartner,1550331348,2021-02-01,Society & Culture,iHeartRadio
ca,70,Ten Percent Happier with Dan Harris,1087147821,2020-10-28,Mental Health,ABC News
ca,71,WorkLife with Adam Grant,1346314086,2021-01-31,Management,TED
ca,72,Anything Goes with Emma Chamberlain,1458568923,2021-02-25,Personal Journals,Emma Chamberlain and Ramble
ca,73,The School of Greatness,596047499,2020-10-28,Alternative Health,Lewis Howes
ca,74,WTF with Marc Maron Podcast,329875043,2020-10-26,Comedy,Marc Maron
ca,75,One Great History,1536441733,2021-02-09,History,onegreathistory
ca,76,Sex With Emily,82456189,2020-11-03,Sexuality,"Emily Morse, Doctor of Human Sexuality - SexWithEmily.com"
ca,77,Nurture vs Nurture with Dr. Wendy Mogel,1549814799,2021-02-16,Kids & Family,Armchair Umbrella
ca,78,Planet Money,290783428,2020-10-23,Business,NPR
ca,79,Pardon My Take,1089022756,2020-10-28,Football,Barstool Sports
ca,80,Sal and Chris Present: Hey Babe!,1542475843,2021-02-04,Comedy Interviews,No Presh Network
ca,81,The Rachel Maddow Show,294055449,2020-10-28,Daily News,"Rachel Maddow, MSNBC"
ca,82,Tim and Friends,1556169964,2021-03-02,Sports,Sportsnet
ca,83,The Hopeful,1533477511,2020-11-09,Documentary,Shayda Omidvar/ Frequency Podcast Network
ca,84,Mike Ward Sous Écoute,1053196322,2020-10-26,Comedy,Mike Ward
ca,85,Uncover,1364665348,2021-01-28,True Crime,CBC Podcasts
ca,86,La soirée est (encore) jeune,543971744,2020-12-31,Society & Culture,Radio-Canada
ca,87,Ologies with Alie Ward,1278815517,2020-10-28,Science,Alie Ward
ca,88,The Canadian Investor,1534655273,2021-02-01,Investing,Braden Dennis & Simon Belanger
ca,89,Macrodosing: Arian Foster and PFT Commenter,1551696865,2021-02-19,Philosophy,Barstool Sports
ca,90,American Scandal,1435516849,2021-02-16,History,Wondery
ca,91,Lex Fridman Podcast,1434243584,2020-10-25,Technology,Lex Fridman
ca,92,The Investing for Beginners Podcast - Your Path to Financial Freedom,1210741497,2020-12-23,Investing,Andrew Sather and Dave Ahern
ca,93,Even the Rich,1500477470,2021-03-02,Society & Culture,Wondery
ca,94,Maintenance Phase,1535408667,2021-03-02,Health & Fitness,Aubrey Gordon & Michael Hobbes
ca,95,Serial,917918570,2020-08-20,News,This American Life
ca,96,CTV National News with Lisa LaFlamme,1506947339,2020-10-28,Daily News,CTV News
ca,97,Freakonomics Radio,354668519,2020-10-22,Documentary,Freakonomics Radio + Stitcher
ca,98,CANADALAND,721048994,2020-10-26,News Commentary,CANADALAND
ca,99,Nothing much happens; bedtime stories to help you sleep,1378040733,2021-02-22,Alternative Health,Curiouscast
ca,100,IMPAULSIVE,1442164847,2021-01-26,Comedy,Logan Paul
ca,101,"The Doctor's Farmacy with Mark Hyman, M.D.",1382804627,2020-12-16,Medicine,Dr. Mark Hyman
ca,102,Your Mom's House with Christina P. and Tom Segura,503482646,2020-10-28,Comedy,YMH Studios
ca,103,Revolutions,703889772,2020-12-25,History,Mike Duncan
ca,104,True Crime Garage,1062418176,2021-02-17,True Crime,TRUE CRIME GARAGE
ca,105,Making Sense with Sam Harris,733163012,2020-10-28,Science,Sam Harris
ca,106,The Opportunist,1551162705,2021-02-16,True Crime,Kast Media
ca,107,The Michelle Obama Podcast,1532956108,2020-09-30,Relationships,Higher Ground & Spotify
ca,108,Radiolab,152249110,2020-10-23,Documentary,WNYC Studios
ca,109,The Showgram with Jim Richards,1502619425,2021-03-02,Politics,iHeartRadio
ca,110,The Ezra Klein Show,1548604447,2021-01-13,Society & Culture,New York Times Opinion
ca,111,The Secret Life of Canada,1434339568,2021-03-02,History,CBC Podcasts
ca,112,Power: The Maxwells,1547265474,2021-01-11,True Crime,Somethin' Else
ca,113,The Dave Ramsey Show,77001367,2020-10-27,Investing,Ramsey Network
ca,114,Duolingo French Podcast,1466824259,2021-02-09,Education,Duolingo
ca,115,Mayim Bialik's Breakdown,1546456269,2020-12-25,Health & Fitness,Mayim Bialik
ca,116,Sleep With Me,740675898,2020-10-25,Mental Health,Dearest Scooter and Night Vale Presents
ca,117,Jay Du Temple discute,1467689409,2020-10-26,Arts,Studio SF
ca,118,Dan Carlin's Hardcore History,173001861,2020-06-03,History,Dan Carlin
ca,119,The Minds of Madness - True Crime Stories,1191274361,2021-02-01,True Crime,The Minds of Madness | Wondery
ca,120,Dose de psy: le podcast,1555937394,2021-03-02,Social Sciences,"Dre Janick Coutu, psychologue"
ca,121,Sway,1528594034,2020-10-26,Society & Culture,New York Times Opinion
ca,122,Sexe Oral,1547085665,2021-01-01,Sexuality,Studio SF
ca,123,The Papaya Podcast,1469615517,2021-03-01,Mental Health,"Dear Media, Sarah Nicole Landry"
ca,124,Economist Radio,151230264,2020-10-28,News,The Economist
ca,125,The Bob McCown Podcast,1518820915,2021-01-22,Hockey,Fadoo Productions
ca,126,Up First,1222114325,2020-10-28,Daily News,NPR
